,cluster_id,seqlength,zhu_cluster
331,0,57,1.0
332,0,46,1.0
333,0,65,1.0
334,0,56,1.0
335,0,54,1.0
336,0,52,1.0
337,0,60,1.0
338,0,61,1.0
339,0,47,1.0
340,0,48,1.0
341,0,63,1.0
342,0,55,1.0
343,0,46,1.0
344,0,49,1.0
345,0,68,1.0
346,0,63,1.0
347,0,63,1.0
348,0,63,1.0
349,0,49,1.0
350,0,58,1.0
351,0,55,1.0
352,0,63,1.0
353,0,52,1.0
354,0,61,1.0
355,0,67,1.0
356,0,49,1.0
357,0,58,1.0
358,0,39,1.0
359,0,51,1.0
360,0,65,1.0
361,0,60,1.0
362,0,60,1.0
363,0,57,1.0
364,0,58,1.0
365,0,58,1.0
366,0,53,1.0
367,0,64,1.0
368,0,48,1.0
369,0,57,1.0
370,0,51,1.0
371,0,48,1.0
372,0,59,1.0
373,0,59,1.0
374,0,52,1.0
375,0,49,1.0
376,0,47,1.0
377,0,56,1.0
378,0,55,1.0
379,0,52,1.0
380,0,55,1.0
381,0,58,1.0
382,0,62,1.0
383,0,55,1.0
384,0,44,1.0
385,0,59,1.0
386,0,46,1.0
387,0,50,1.0
388,0,50,1.0
389,0,58,1.0
390,0,51,1.0
391,0,42,1.0
392,0,48,1.0
393,0,66,1.0
394,0,47,1.0
395,0,59,1.0
396,0,55,1.0
397,0,40,1.0
398,0,57,1.0
399,0,57,1.0
400,1,54,0.0
401,1,60,0.0
402,1,50,0.0
403,1,46,0.0
404,1,55,0.0
405,1,58,0.0
406,1,52,0.0
407,1,49,0.0
408,1,43,0.0
409,1,50,0.0
410,1,67,0.0
411,1,53,0.0
412,1,48,0.0
413,1,62,0.0
414,1,45,0.0
415,1,58,0.0
416,1,60,0.0
417,1,53,0.0
418,1,38,0.0
419,1,48,0.0
420,1,61,0.0
421,1,67,0.0
422,1,49,0.0
423,1,59,0.0
424,1,40,0.0
425,1,46,0.0
426,1,42,0.0
427,1,41,0.0
428,1,59,0.0
429,1,59,0.0
430,1,49,0.0
431,1,46,0.0
432,1,58,0.0
433,1,42,0.0
434,1,52,0.0
435,1,57,0.0
436,1,57,0.0
437,1,61,0.0
438,1,42,0.0
439,1,48,0.0
440,1,55,0.0
441,1,61,0.0
442,1,52,0.0
443,1,52,0.0
444,1,42,0.0
445,1,45,0.0
446,1,39,0.0
447,1,61,0.0
448,1,48,0.0
449,1,35,0.0
450,1,57,0.0
451,1,54,0.0
452,1,58,0.0
453,1,53,0.0
454,1,65,0.0
455,1,50,0.0
456,1,58,0.0
457,1,57,0.0
458,1,57,0.0
459,1,50,0.0
460,1,49,0.0
461,1,57,0.0
462,1,47,0.0
463,1,54,0.0
464,1,60,0.0
465,1,50,0.0
466,1,61,0.0
467,1,68,0.0
468,1,44,0.0
469,1,59,0.0
470,1,58,0.0
471,1,50,0.0
472,1,52,0.0
473,1,55,0.0
474,1,50,0.0
475,1,59,0.0
